frontera => 12
misma => 12
veras => 12
ahi => 12
Soraberri => 12
historia => 12
jefe => 12
vivir => 12
visto => 12
sido => 12
Tenia => 12
bajo => 12
oyo => 12
habra => 12
otras => 12
EL => 12
Urbide => 12
salieron => 12
pobre => 12
Es => 12
portal => 11
seguida => 11
estoy => 11
andar => 11
pasaba => 11
todavia => 11
paredes => 11
somos => 11
vamos => 11
salio => 11
aunque => 11
Ya => 11
tener => 11
hora => 11
llego => 11
daba => 11
llevo => 11
castellano => 11
vascuence => 11
MARTIN => 11
cada => 11
aquella => 11
seguir => 11
encontraba => 11
--A => 11
juego => 11
abrio => 11
sol => 11
dado => 11
haciendo => 11
Agueda => 11
padre => 11
tienes => 11
pasos => 11
marcha => 11
convento => 11
estado => 11
chicos => 11
saber => 11
novia => 11
baja => 11
Amezqueta => 10
farol => 10
Uno => 10
os => 10
sargento => 10
segun => 10
entrada => 10
marchar => 10
Como => 10
cuidado => 10
E => 10
detuvieron => 10
interior => 10
extremo => 10
fin => 10
Con => 10
grueso => 10
hablaban => 10
carta => 10
miraba => 10
risa => 10
pequena => 10
fuerte => 10
estuvo => 10
Bayona => 10
pais => 10
Ichtaber => 10
hablando => 10
llamaba => 10
cielo => 10
dejo => 10
paseo => 10
palabras => 10
Ospitalech => 10
arriba => 10
Pichia => 10
tenido => 10
anochecer => 10
banco => 10
pueblos => 10
Efectivamente => 10
bajar => 10
punto => 10
canciones => 10
teniente => 10
fuerza => 10
Jabonero_ => 10
seria => 10
gascon => 10
cama => 9
--Y => 9
cantaba => 9
dinero => 9
manos => 9
junto => 9
--Que => 9
lleno => 9
--En => 9
Haussonville => 9
navarro => 9
negra => 9
--Vamos => 9
caso => 9
cara => 9
leon => 9
reloj => 9
Mayor => 9
aparecio => 9
--iAh => 9
entraba => 9
--La => 9
muchas => 9
conocido => 9
conocia => 9
Tolosa => 9
eh => 9
montes => 9
idea => 9
Asensio => 9
cayo => 9
flores => 9
Navarra => 9
contesto => 9
carcel => 9
puente => 9
entraron => 9
Juan => 9
sea => 9
tiros => 9
rincon => 9
sera => 9
vas => 9
rico => 9
pocos => 9
escaleras => 9
muerte => 9
parecio => 9
Vera => 9
Ohandos => 9
comenzaba => 9
ti => 9
buenas => 9
cabecilla => 9
Jose => 9
mala => 9
uniforme => 9
hubiera => 9
frente => 9
Dantchari => 9
proxima => 9
Sant => 9
muchos => 9
cunado => 9
criado => 9
EN => 9
ve => 9
venia => 9
dormir => 9
panuelo => 9
entonces => 9
guardia => 8
vista => 8
mio => 8
siguio => 8
canto => 8
creia => 8
seguia => 8
alta => 8
echar => 8
LOS => 8
huerta => 8
calles => 8
_ => 8
entusiasmo => 8
da => 8
despacio => 8
poder => 8
juntos => 8
nueva => 8
imposible => 8
disparo => 8
vascongados => 8
contar => 8
cuanto => 8
comenzaban => 8
volvieron => 8
comprendio => 8
cuenta => 8
verla => 8
principio => 8
caracter => 8
motivo => 8
mayor => 8
Pedro => 8
franceses => 8
lanzo => 8
fuego => 8
amigos => 8
pelo => 8
conversacion => 8
ZALACAIN => 8
haber => 8
dificil => 8
durante => 8
--Nada => 8
amo => 8
doce => 8
posible => 8
largo => 8
mando => 8
pared => 8
contaba => 8
valiente => 8
boca => 8
Estaba => 8
aspecto => 8
balas => 8
QUE => 8
ocho => 8
oido => 8
campesino => 8
cuyas => 8
ultimo => 8
peligro => 8
llamado => 8
cena => 8
negro => 8
adelante => 8
aquellos => 8
luz => 8
veinte => 8
saco => 8
mulas => 8
partido => 8
Asi => 8
centro => 8
cabo => 8
prado => 8
diez => 8
viento => 8
debia => 8
pequeno => 8
quiso => 8
mil => 8
sentia => 8
lejos => 8
carabineros => 7
historias => 7
subio => 7
--Porque => 7
podria => 7
barro => 7
--Aqui => 7
medico => 7
tampoco => 7
sereno => 7
proximo => 7
huertas => 7
carcelero => 7
circo => 7
hubiese => 7
servir => 7
carros => 7
escudo => 7
verano => 7
puertas => 7
bastante => 7
impresion => 7
mozo => 7
posadero => 7
liberal => 7
--se => 7
blanca => 7
pescante => 7
triunfo => 7
quisiera => 7
sendas => 7
--Esta => 7
llamaban => 7
Miguel => 7
Pero => 7
rey => 7
madera => 7
esas => 7
Dona => 7
criada => 7
