Ori Oree
Vasconia Vasconiaa
Ongui Onggi
VIVIÓ VIVIÓ
Galchagorri Galckhagoggree
Fernandoque Phernandokke
Ugarona Ugaronaa
Odisea Odiseaa
Mugas Mugas
CÍNICO CÍNICO
Banca Bancaa
Izpegui Izpeggi
ANTIGUA ANTIGUA
GLORIA GLORIA
Espeleta Espeletaa
AUMENTÓ AUMENTÓ
Carlistón Carlistón
Monte Monte
Bidasoa Biddasoaa
Potaje Potaje
MODERNA MODERNA
Gloriya Gloreejjaa
DECIDIDOS DECIDIDOS
Padresrefunfuñó Padresrephunphuñó
Ostabat Ostabat
Bearn Beyarn
CRACASCH CRACASCH
Gu Gg
MUERTO MUERTO
Norte Norte
RECIÉN RECIÉN
Martín.Esta Martín.Estaa
Nivelle Nivelhe
Andoain Andoayn
Port Port
Sur Sur
CASI CASI
Trinidad Tryniddad
Curtidores Curtidores
SOLOS SOLOS
Pamplona Pamplonaa
TOMARON TOMARON
Erroitza Eggroittsaa
ñora Ñoraa
General General
Antigua Antiggaa
CONTENTOS CONTENTOS
Málaga Málagaa
CUAL CUAL
Conzolación Contholathión
Peñacerrada Peñatheggraddaa
UNOS UNOS
Entregaron Entregaron
Atchuria Atckhureeaa
Araquil Arakkil
INTENTÓ INTENTÓ
Rey Rey
Igusquiza Iggskkitsaa
Aizarnazabal Aitsarnatsabal
Americano Amereecanoh
Tellagori Tehlhagoree
Meharín Mekharín
SUYOS SUYOS
Andresí Andresí
Circe Thirthe
UNA UNA
Mediodía Mediodíaa
TERCERO TERCERO
Madrid Madreed
JOSHÉ JOSHÉ
Majestad Majestad
Abril Abreel
Ecarri Ecaggree
Iraty Iraty
GUERRA GUERRA
Diablo Diabloh
CUATROCIENTOS CUATROCIENTOS
PUNTO PUNTO
Cuesta Cuestaa
Al Al
Ezpeleta Ezpeletaa
Logroñodijo Logroñodijoh
SUCEDIÓ SUCEDIÓ
BUSCÓ BUSCÓ
Itzarroiz Ittsaggroiz
AQUELARRE AQUELARRE
CIUDAD CIUDAD
Cacochipicontestó Cacockhipicontestó
Ayuntamientos Ajjuntamientos
Hicieron Khithieron
Elurrez Eluggrez
AVENTURAS AVENTURAS
Sagunto Saggntoh
Urepel Urepel
DOS DOS
Tellagorrite Tehlhagoggreete
HECHO HECHO
MIGUEL MIGUEL
Articuza Articutsaa
Hernio Khernioh
Bautista.Para Bawtista.Paraa
Egozcue Egozcue
Echeberrigaray Eckhebeyggreegaray
Martíndeben Martíndebeyn
Andía Andíaa
Aralar Aralar
ZARO ZARO
Manchas Manckhas
Usurbil Usurveel
BRIONES BRIONES
SEÑORITA SEÑORITA
Oñate.. Oñate..
Isabeu Isabejw
Joshepe.. Joxepe..
Espíritu Espíreetooh
TRANSCURRIÓ TRANSCURRIÓ
ARCALE ARCALE
Juana Juanaa
HOMBRES HOMBRES
Papa Papaa
TERCER TERCER
Borbones Borbones
Hoc Khoc
Mauleon Mawleoxn
Araguiarrapatzallia Araggiaggrapattsalhiaa
ALGUNOS ALGUNOS
Castillos Castilhos
Bautistaque Bawtistakke
Jean Jean
Amadeo Amadeox
Pancorbo Pankoggrboh
Lesbas Lesbas
Martín!le Martín!le
Fagollaga Phagolhagaa
Ciego Thiegoh
Bobo Boboh
Goñi Goñi
Chassepot Ckhassepot
Nicolás Nicolás
Joshéy Joshéy
Bordagorri Borddagoggree
FEBRERO FEBRERO
DESHECHA DESHECHA
Velate Velate
Cracaschdecía Cracasckhdecíaa
Andanzas Anddantsas
OCUPADA OCUPADA
Enderlaza Enderlatsaa
LLEGADA LLEGADA
DESPUÉS DESPUÉS
CUIDÓ CUIDÓ
Enguí Enggí
Les Les
VENGARSE VENGARSE
Blas Blas
CEMENTERIO CEMENTERIO
Cristiana Creestianaa
Rolando Rolandoh
Abarzuza Abarzutsaa
FERNANDO FERNANDO
Peña Peñaa
Lafourchette Laphourckhette
Hay Khay
Agosto Agostoh
!Psé!contestaba !Psé!contestabaa
CARLISTA CARLISTA
Cristina Creestynaa
Vishenta Vixentaa
Ignaciaañadió Iknathiaañadió
Armagnac Armaknac
Aquelarre Akkelaggre
París París
ANÉCDOTAS ANÉCDOTAS
Nuestro Nuestroh
Aquelarrecontestó Akkelaggrecontestó
Artzen Artzen
Sepulcro Sepulcroh
Cual Cual
Mentor Mentor
Eliz Eliz
Puerta Puertaa
VIEJO VIEJO
TRES TRES
Bazan Batsan
Rosas Rosas
VARIAS VARIAS
Sánchez Sánckhez
Pourtalés Pourtalés
1876 1876
EPITAFIOS EPITAFIOS
Irati Irati
Dumas Dumas
X X
Lasao Lasaoh
Nescatzale Nescattsale
CASA CASA
ENREDARON ENREDARON
Ignacita Iknathitaa
Con Con
Muru Muruw
Prado Pradoh
LÓPEZ LÓPEZ
MARCHAN MARCHAN
Iñigo Iñigoh
Riojasolían Reeoxjasolían
Ohandodecía Okhandodecíaa
Irura Iruraa
Meaca Meacaa
Arhamus Arkhamus
COMIENZA COMIENZA
Burguete Burggete
Vergara Vergaraa
Dantcharique Ddantckhareekke
California Caliphorniaa
Nosotros Nosotros
Enrique Enreekke
YACE YACE
Burgueteles Burggetehles
Arrizuri Aggreezuree
Las Las
Oiquina Oikkynaa
Espolón Espolón
Estella!dijo Estehlha!dijoh
[Nota [Notaa
EXTRANJERO EXTRANJERO
XI XI
CAPISTUN CAPISTUN
Archipe Arckhipe
Martínpero Martínperoh
BAUTISTA BAUTISTA
Oquerra Okkeggraa
Arcalesiguió Arcalesiggió
Ega Egaa
Bécquer Béckker
ANDOAIN ANDOAIN
NUEVAS NUEVAS
URBIDE URBIDE
Loyola Lojjolaa
Pernando?preguntó Pernando?preggntó
Senda Senddaa
Samaniego Samaniegoh
Roma Romaa
Santiago Santiagoh
Briscus Breescus
INICIA INICIA
ODIO ODIO
GRACIA GRACIA
Cataluña Cataluñaa
Cuba Cubaa
VOZ VOZ
Onera Oneraa
Belle Beylhe
AÑOS AÑOS
ENTRE ENTRE
Casinocontestó Casynocontestó
Caspe Caspe
...En ...En
Maitia Maitiaa
Déjale!gritó Déjale!greetó
REPITE REPITE
PASEARON PASEARON
Martín!dijo Martín!dijoh
CASADOS CASADOS
Olaberri Olabeyggree
Pirmes Pirmes
AMEZQUETA AMEZQUETA
Olave Olaff
Brionesotros Breeoxnesotros
Lezaun Letsawn
Zu Zuw
Hendaya Khenddajjaa
Barcus Barcus
ESTÁN ESTÁN
Dancharinea Ddanckharyneaa
Alcoy Alcoy
LES LES
Cura!exclamó Cura!exclamó
LAS LAS
Navascués Navascués
Ba Baa
HABLARON HABLARON
Rosamurmuró Rosamurmuró
Borte Borte
Humanidad Khumaniddad
Ignacio Iknathioh
Padresle Padresle
Capistundijo Capistoondijoh
Albandos Albandos
Chacxu Ckhacxuw
Ataun Atawn
Hasparren Khaspaggren
XIII XIII
Pilar Pilar
LOGROÑO LOGROÑO
Ormaiztegui Ormaisdeggi
Arbea Arbeyaa
Miguelhabía Miggelkhabíaa
Cura.. Cura..
MIL MIL
Euscal Euscal
DURMIÓ DURMIÓ
Osses Osses
Andrés Andrés
Berdáriz Beyrdáreez
DETUVO DETUVO
Logroño?preguntó Logroño?preggntó
Ladrón Ladrón
Manisch Manix
Hurra Khuggraa
Chiquierdi Ckhikkierdi
Palais Palais
Eriotzac Ereeoxttsac
AL AL
Amaviturrieta Amavitooggreeetaa
OCURRIÓ OCURRIÓ
Asa Asaa
MURIÓ MURIÓ
Fuenterrabía Phuenteggrabíaa
Machichaco Mackhickhacoh
LAGUARDIA LAGUARDIA
Granada Granaddaa
Pasaron Pasaron
Nora Noraa
Barcasiyua Barcasijjuaa
AÑO AÑO
24 24
Venaspre Venaspre
Sara Saraa
Catalina.Qué Catalyna.Qué
Conformes Conphormes
Honratu Khonratooh
Bigarren Bigaggren
Aleluya Alelujjaa
DOCE DOCE
Pied Pied
Orra Oggraa
Soul Soul
Cataliñ Cataliñ
Erantzale Eranttsale
Damas Ddamas
