Martín Martín
Bautista Bawtistaa
Zalacaín Tsalacaín
Catalina Catalynaa
Carlos Carlos
Tellagorri Tehlhagoggree
Ohando Okhandoh
Briones Breeoxnes
DE DE
Ignacia Iknathiaa
Estella Estehlhaa
Cacho Cackhoh
Cura Curaa
Urbia Urbiaa
Zaro Tsaroh
Fernando Phernandoh
Arizmendi Areezmendi
Cracasch Cracax
Francia Phranthiaa
San San
Linda Lynddaa
CÓMO CÓMO
LA LA
Arcale Arcale
Capistun Capistoon
España Españaa
Joshé Joshé
Logroño Logroñoh
López López
Laguardia Laggardiaa
Urbide Urbide
Luschía Luxíaa
Águeda Ággeddaa
Jabonero Jaboneroh
MARTÍN MARTÍN
Y Y
EL EL
Rosita Rositaa
Amezqueta Amezkketaa
Soraberri Sorabeyggree
Tolosa Tolosaa
Bayona Bajjonaa
Navarra Navaggraa
Juan Juan
A Aa
Ospitalech Ospitaletx
Vera Veraa
Ohandos Okhandos
Mayor Majjor
Sant Sant
LOS LOS
QUE QUE
Haussonville Khawssonvilhe
Pedro Pedroh
ZALACAÍN ZALACAÍN
Asensio Asensioh
Hernani Khernani
Cacochipi Cacockhipi
Pepita Pepitaa
José José
Estudiante Estoodiante
EN EN
Zugarramurdi Zugaggramurdi
Elizondo Elithondoh
Ichtaber Ickhtabeyr
Santa Santaa
Loco Locoh
Peñaplata Peñaplataa
SE SE
Añoa Añoaa
Ana Anaa
LeviAlvarez LeviAlvarez
Alzate Altsate
VII VII
Rua Ruaa
DEL DEL
Dios Dios
Mayo Majjoh
Oñate Oñate
Zumaya Zumajjaa
Miguel Miggel
Ipintza Ipynttsaa
Lasala Lasalaa
Dantchari Ddantckharee
Ciudadela Thiuddadelaa
Fleche Phleckhe
Asenchio Asenckhioh
Mosen Mosen
Fermín Phermín
Los Los
Urdax Urddax
Puy Puy
Corneta Koggrnetaa
IV IV
PRIMERO PRIMERO
Viana Vianaa
Baztán Basdán
Chato Ckhatoh
Quirlis Kkirlis
Llanos Lhanos
Dorronsoro Doggronsoroh
Lapurrá Lapuggrá
Pretendiente Pretendiente
ESTELLA ESTELLA
Vilinch Vilyntx
Cestona Thestonaa
II II
Recoletas Recoletas
Estado Estadoh
Roncesvalles Ronthesvalhes
América Améreecaa
Valcarlos Valcarlos
Pichía Pitxíaa
Señor Señor
Marqués Markkés
Reverendos Reverendos
Arneguy Arneggy
CAPÍTULO CAPÍTULO
Rosa Rosaa
VI VI
V V
LO LO
Ibaya Ibajjaa
Irún Irún
Guipúzcoa Ggipúzcoaa
Luz Luz
Tal Tal
Anthoni Antkhoni
Sebastián Sebastián
Iceta Ithetaa
Azpeitia Azpeitiaa
Larrun Laggrun
Cuando Cuandoh
Ebro Ebroh
Una Unaa
Lácar Lácar
Biriatu Bireeatooh
HISTORIA HISTORIA
Estéban Estéban
María Maríaa
POR POR
Ta Taa
Baigorri Baigoggree
Socoa Socoaa
Marquesch Markkex
III III
República Repúblicaa
Pernando Pernandoh
La Laa
Naturaleza Natooraletsaa
Carnaval Carnaval
Praschcu Prasckhcuw
DONDE DONDE
Iraeta Iraetaa
Teodosio Teoxdosioh
Mercadal Mercaddal
Yécora Yékoggraa
Borbón Borbón
Pirineo Piryneox
Padre Padre
Pepito Pepitoh
Alfonso Alphonsoh
Isquiña Iskkiñaa
CARLOS CARLOS
Somo Somoh
CERCA CERCA
LLEGARON LLEGARON
Velche Velckhe
DÍA DÍA
Atenas Atenas
Paganos Paganos
Saint Saynt
Micolalde Micolalde
Espartero Esparteroh
Urruña Uggruñaa
Larrau Laggraw
Oyarzun Ojjarzun
IX IX
Alduides Alduides
De De
Benito Beynitoh
En En
Hijo Khijoh
PARTIDA PARTIDA
HABLA HABLA
Virgen Virgen
Santo Santoh
Ramírez Ramírez
Lanzarote Lantsarote
Ayuntamiento Ajjuntamientoh
Deshecha Dexeckhaa
Aventurero Aventooreroh
XIV XIV
Arichulegui Areeckhuleggi
Pie Pie
TELLAGORRI TELLAGORRI
Celedonia Theledoniaa
Isabel Isabeyl
ACONTECIMIENTOS ACONTECIMIENTOS
Como Comoh
Bere Beyre
Villabona Vilhabonaa
Belcha Beylckhaa
Un Un
CURA CURA
Anoeta Anoetaa
MONTE MONTE
NOCHE NOCHE
Haussonvillela Khawssonvilhelaa
Monserrat Monseggrat
Puerto Puertoh
Ribera Reebeyraa
Félix Félix
Maya Majjaa
Azucarero Azucareroh
Capua Capuaa
Regil Regil
Lizárraga Lizággragaa
Ibantelly Ibantehlhy
Azqueta Azkketaa
Urola Urolaa
Lanciego Lanthiegoh
Tellagorris Tehlhagoggrees
SEGUNDO SEGUNDO
EcharriAranaz EckhaggreeAranaz
Lesaca Lesacaa
Ocin Othyn
Arcos Arcos
Martínno Martínnoh
OHANDO OHANDO
Manolita Manolitaa
Recoletos Recoletos
Napoleón Napoleón
Echehun Eckhekhun
Anchusa Anckhusaa
Oyón Oyón
El El
VIII VIII
Archipi Arckhipi
Gaur Gawr
Saboya Sabojjaa
André André
29 29
FORMABAN FORMABAN
Francesa Phranthesaa
Bautistapara Bawtistaparaa
PRELUDIOS PRELUDIOS
ROSAS ROSAS
Senyor Senjjor
Blanca Blancaa
Clara Claraa
Larralde Laggralde
Cantabria Cantabreeaa
Irisarri Ireesaggree
Bautistatenemos Bawtistatenemos
SUPO SUPO
REFIERE REFIERE
Alcorrunz Alkoggrrunz
Eugenie Eugenie
Ay Ay
Gorde Gorde
Austerlitz Awsterlitz
Dax Ddax
VOCES VOCES
Aquí Akkí
XV XV
Este Este
NOBLE NOBLE
Azcain Azcayn
TITIRITEROS TITIRITEROS
Azparrain Azpaggrayn
Azcarat Azcarat
Pirineos Piryneios
Larratecoeguia Laggratecoeggiaa
Algunas Alggnas
REUNIÓN REUNIÓN
Echalar Eckhalar
Martín.Adelante Martín.Adelante
Carlos?preguntó Carlos?preggntó
Su Suw
Zalacaínque Tsalacaínkke
Galchagorris Galckhagoggrees
Fueron Phueron
Yo Yoh
BATALLA BATALLA
Homero Khomeroh
CARLISTAS CARLISTAS
ÚLTIMA ÚLTIMA
Fernandole Phernandole
Martínyo Martínjjoh
Doctrina Doctrynaa
Vidania Viddaniaa
Ezpaniaco Ezpaniacoh
Barrot Baggrot
Aurrena Awggrenaa
Errien Eggreeen
Bautistate Bawtistate
Cathelineau Catkhelyneaw
Aires Aires
EDUCÓ EDUCÓ
PROTEGER PROTEGER
Iñasi Iñasi
Elduayen Elduajjen
Esterensuby Esterensuby
Utrera Utreraa
Jefe Jephe
DILIGENCIA DILIGENCIA
Rioja Reeoxjaa
TRABAJAR TRABAJAR
Ospitalechque Ospitaleckhkke
He Khe
POSADA POSADA
Voltaire Voltaire
Sansol Sansol
PASARON PASARON
Concluída Concluíddaa
Burdeos Burdeios
Pau Paw
Agonía Agoníaa
Idiazabal Idiatsabal
Buenos Buenos
Carlistona Carlistonaa
CÁRCEL CÁRCEL
Ulises Ulises
XII XII
Concha Conckhaa
Canción Canthión
Lerrumburo Leggrumburoh
Elorrieta Eloggreeetaa
INVEROSÍMIL INVEROSÍMIL
Catalinapensóera Catalynapensóeraa
GALOPE GALOPE
Gure Ggre
